"Month","Nuclear","Hydro Run-of-River","Biomass","Fossil brown coal / lignite","Fossil coal-derived gas","Fossil hard coal","Fossil oil","Fossil gas","Geothermal","Hydro water reservoir","Others","Other renewables","Waste renewable","Waste non-renewable","Wind offshore","Wind onshore","Solar"
"01.2015",8435,1550.5,3626.9,12291.2,0,8371.6,67.6,2779.6,7.6,35.3,29.6,88.1,856.9,498,263.9,9408.5,584.8
"02.2015",7710.4,1161.3,3295,11715.4,0,10326.4,75.5,3194.7,7.7,22.8,32.1,74,766.2,505,285.3,5191.7,1432.5
"03.2015",7526.7,1380.8,3593,12689.7,25.6,9590,79.1,2696.5,6.2,26.5,30,64,734.2,523.3,435.8,6802.3,2986.8
"04.2015",7054.2,1644.1,3482.6,10633.3,0,7856.9,75.3,1681.8,7.8,48.3,24.1,85.6,861.6,603,377.9,4813.5,4634.3
"05.2015",7127.3,2004.6,3571,9303.8,0,5606.5,74.2,1718,9.7,72.6,20.3,68.1,846,554.3,569,4851.7,4609.4
"06.2015",6431.6,1957.7,3338.7,10196.7,0,7571.1,72.5,1555.1,6.9,90.3,23.3,70.1,812.5,484.2,480.3,3694.5,4757
"07.2015",5231.4,1788.5,3358.7,11495.5,0,8135,75.2,2247.8,7.6,99.1,23.2,61.7,750.5,433.8,710.5,5241,5138.1
"08.2015",7274.7,1597.8,3357.1,12178.9,0,8413.4,74,1692.3,4.4,51.3,16.9,59.4,770.3,0,575.4,3328.8,4819.4
"09.2015",7498,1409.9,3394.4,12762.1,256.1,10137.1,75.5,1740.9,6.2,57.2,21.8,55.9,918.3,,768.2,4828.8,3371.2
"10.2015",6897.8,1311.6,3580.1,13373.7,348.5,12742.7,78.1,3474.3,8.1,43.1,22.4,57.3,983.4,,889.6,3135.8,2033.6
"11.2015",7676.7,1076.1,3501.3,11525.5,282.8,9304.2,80.5,3759.7,8.6,30.5,19.9,57.3,934.5,,1300.4,9374,1187.5
"12.2015",7901.3,1173.6,4128.2,11205.1,263.7,8152.7,76.7,3582.7,10.2,31.4,17.5,88,407.7,,1505.8,10251.6,889.1
