Year, Country, Energy, Percentage
2022, Japan, Crude Oil, 100
2022, Japan, Natural Gas, 90
2022, Japan, Coal, 100
2022, Singapore, Crude Oil, 100 
2022, Singapore, Natural Gas, 100
2022, Singapore, Coal, 100
2022, South Korea, Crude Oil, 100
2022, South Korea, Natural Gas, 95
2022, South Korea, Coal, 100
2022, India, Crude Oil, 87
2022, India, Natural Gas, 55
2022, India, Coal, 33
2022, China, Crude Oil, 73 
2022, China, Natural Gas, 41
2022, China, Coal, 10
2022, Taiwan, Crude Oil, 100 
2022, Taiwan, Natural Gas, 100
2022, Taiwan, Coal, 100
2022, Thailand, Crude Oil, 60 
2022, Thailand, Natural Gas, 30
2022, Thailand, Coal, 85
2022, Indonesia, Crude Oil, 30 
2022, Indonesia, Natural Gas, 0
2022, Indonesia, Coal, 10
