Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,2.621555,2.854008,2.466586,2.847551,0.853823,102185119
1985-02-01,2.841094,3.073547,2.834637,2.847551,0.863373,68216333
1985-03-01,2.847551,3.131660,2.821723,3.002520,0.910360,53770840
1985-04-01,3.002520,3.034805,2.718410,2.724867,0.826175,62302238
1985-05-01,2.737781,3.131660,2.686125,3.099375,0.948808,94997219
1985-06-01,3.112289,3.306000,2.944406,3.286629,1.006132,55209194
1985-07-01,3.273715,3.286629,2.879836,2.931492,0.897415,52216334
1985-08-01,2.918578,2.950863,2.847551,2.937949,0.907622,23658317
1985-09-01,2.937949,3.189773,2.886293,3.176859,0.981429,53389476
1985-10-01,3.176859,3.370570,3.138117,3.189773,0.985419,101745672
1985-11-01,3.176859,3.577195,3.073547,3.073547,0.957977,55879006
1985-12-01,3.086461,3.247887,2.937949,3.157488,0.984141,44707077
1986-01-01,3.151031,3.273715,2.918578,3.189773,0.994204,46058320
1986-02-01,3.196230,3.622395,3.105832,3.577195,1.127612,54765881
1986-03-01,3.577195,4.145414,3.551367,3.835477,1.209029,99732365
1986-04-01,3.822563,3.900047,3.551367,3.609480,1.137789,56115184
1986-05-01,3.596566,4.022730,3.564281,4.003359,1.274155,53772777
1986-06-01,4.016273,4.326211,3.829020,4.287469,1.364579,46203509
1986-07-01,4.293926,4.597406,4.113129,4.468266,1.422122,57214761
1986-08-01,4.494094,4.687805,4.390781,4.481180,1.437932,45603390
1986-09-01,4.468266,4.507008,3.861305,4.087301,1.311543,81995887
1986-10-01,4.074387,4.610320,3.996902,4.558664,1.462794,78522929
1986-11-01,4.558664,4.894430,4.029188,4.610320,1.494037,57452874
1986-12-01,4.597406,4.623234,4.209984,4.455352,1.443818,49121837
1987-01-01,4.442438,5.152711,4.442438,4.971914,1.611217,57744221
1987-02-01,4.971914,5.359336,4.855688,5.217281,1.705742,33146037
1987-03-01,5.256023,5.617617,5.139797,5.268938,1.722630,46852026
1987-04-01,5.191453,5.449734,4.442438,4.687805,1.532634,51116757
1987-05-01,4.661977,5.785500,4.610320,5.578875,1.837643,95703811
1987-06-01,5.656359,6.082523,5.462648,5.746758,1.892943,59362614
1987-07-01,5.733844,5.992125,5.398078,5.914641,1.948244,45956685
1987-08-01,5.888813,6.418289,5.656359,6.043781,2.008214,57393830
1987-09-01,6.043781,6.121266,5.514305,5.992125,1.991050,44620932
1987-10-01,5.992125,6.121266,4.209984,5.062313,1.682094,88504296
1987-11-01,5.062313,5.088141,4.442438,4.545750,1.522918,41278644
1987-12-01,4.571578,5.191453,4.287469,5.126883,1.717609,64337809
1988-01-01,5.101055,5.449734,4.881516,5.191453,1.739241,49484813
1988-02-01,5.204367,5.294766,4.920258,5.191453,1.756369,38200604
1988-03-01,5.217281,5.307680,4.752375,4.907344,1.660250,64462674
1988-04-01,4.855688,5.088141,4.700719,4.804031,1.625298,48724018
1988-05-01,4.804031,4.868602,4.455352,4.868602,1.664098,46088325
1988-06-01,4.894430,5.062313,4.713633,4.842773,1.655269,52022748
1988-07-01,4.765289,4.946086,4.636148,4.907344,1.677341,39684454
1988-08-01,4.946086,5.281852,4.920258,5.139797,1.778367,53023594
1988-09-01,5.139797,5.333508,5.023570,5.320594,1.840923,33234117
1988-10-01,5.268938,5.992125,5.243109,5.565961,1.925821,62807502
1988-11-01,5.565961,5.682188,5.062313,5.398078,1.888587,27306475
1988-12-01,5.410992,5.475563,5.178539,5.359336,1.875032,28025649
1989-01-01,5.359336,5.772586,5.204367,5.772586,2.019612,45627588
1989-02-01,5.772586,5.940469,5.540133,5.695102,2.014917,35792378
1989-03-01,5.733844,6.172922,5.682188,6.121266,2.165692,39009798
1989-04-01,6.134180,6.624914,6.082523,6.418289,2.270778,38390320
1989-05-01,6.418289,6.999422,6.340805,6.766969,2.417341,32460736
1989-06-01,6.741141,7.180219,6.624914,6.702398,2.394276,32465578
1989-07-01,6.624914,7.373930,6.624914,7.348102,2.624938,26572777
1989-08-01,7.361016,7.412672,6.896109,7.141477,2.577565,40061947
1989-09-01,7.102734,7.335188,6.883195,7.257703,2.619514,23005928
1989-10-01,7.257703,7.619297,6.870281,7.335188,2.647481,31976770
1989-11-01,7.335188,7.709695,7.193133,7.709695,2.809262,20594797
1989-12-01,7.787180,7.942148,7.218961,7.477242,2.724559,29701150
1990-01-01,7.451414,7.632211,6.779883,7.076906,2.578687,44617060
1990-02-01,7.115648,7.115648,6.482859,6.637828,2.440909,35234847
1990-03-01,6.624914,7.619297,6.624914,7.606383,2.797071,33998788
1990-04-01,7.593469,7.929234,7.399758,7.490156,2.754333,25081186
1990-05-01,7.515984,8.329570,7.515984,8.329570,3.090475,34530188
1990-06-01,8.342484,9.323953,8.226258,9.285211,3.445039,37051662
1990-07-01,9.298125,9.814688,9.014016,9.530578,3.536076,40626258
1990-08-01,9.504750,9.633891,7.838836,8.988188,3.363940,44867754
1990-09-01,9.065672,9.065672,8.213344,8.419969,3.151278,28882274
1990-10-01,8.497453,9.362695,8.161688,8.587852,3.214109,43650089
1990-11-01,8.613680,9.788859,8.523281,9.788859,3.696792,26394674
1990-12-01,9.737203,10.744500,9.556406,10.124625,3.823597,23783667
1991-01-01,9.969656,9.995484,8.988188,9.737203,3.677284,35520386
1991-02-01,9.711375,11.493516,9.478922,11.131922,4.239689,32994071
1991-03-01,11.028609,12.578297,10.770328,11.932594,4.544633,29401573
1991-04-01,11.906766,12.371672,11.416031,11.545172,4.397079,22886388
1991-05-01,11.571000,12.320016,11.493516,12.139219,4.654064,19535874
1991-06-01,12.190875,12.190875,11.209406,11.674313,4.475821,24634966
1991-07-01,11.777625,13.017375,11.725969,13.017375,4.990739,21594192
1991-08-01,13.094859,13.301484,12.397500,13.301484,5.139679,18155112
1991-09-01,13.249828,13.327313,12.320016,12.604125,4.870224,22203510
1991-10-01,12.552469,13.275656,12.113391,12.784922,4.940080,24288927
1991-11-01,12.784922,14.179641,12.604125,13.456453,5.239231,24531396
