Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,0.000000,3.500000,3.093750,3.343750,0.785778,23446800
1985-02-01,0.000000,3.343750,3.125000,3.187500,0.749059,19571600
1985-03-01,0.000000,3.437500,3.156250,3.343750,0.785778,31508400
1985-04-01,0.000000,3.906250,3.218750,3.656250,0.859215,41850800
1985-05-01,0.000000,4.093750,3.500000,4.062500,0.954684,34207200
1985-06-01,0.000000,4.187500,3.968750,3.968750,0.938099,26234800
1985-07-01,0.000000,4.406250,4.000000,4.375000,1.034124,26507600
1985-08-01,0.000000,4.718750,4.406250,4.687500,1.107990,29393200
1985-09-01,0.000000,4.656250,4.343750,4.500000,1.063671,20139200
1985-10-01,0.000000,5.312500,4.593750,5.281250,1.248335,41834400
1985-11-01,0.000000,5.812500,5.250000,5.781250,1.366521,33556400
1985-12-01,0.000000,5.750000,5.343750,5.531250,1.321162,36320400
1986-01-01,0.000000,6.250000,5.437500,6.125000,1.462982,40892200
1986-02-01,0.000000,7.625000,6.062500,7.187500,1.716765,104354000
1986-03-01,0.000000,8.187500,7.062500,7.937500,1.895907,54479800
1986-04-01,0.000000,8.687500,7.500000,7.562500,1.806336,51642400
1986-05-01,0.000000,7.625000,7.125000,7.437500,1.776479,41444000
1986-06-01,0.000000,8.437500,7.375000,7.875000,1.889196,30094800
1986-07-01,0.000000,8.250000,7.000000,7.125000,1.709274,33881200
1986-08-01,7.125000,7.437500,6.937500,7.250000,1.739260,31366400
1986-09-01,7.312500,7.937500,6.500000,6.750000,1.619311,41174000
1986-10-01,7.000000,7.000000,6.312500,6.625000,1.589324,38962000
1986-11-01,6.750000,6.750000,6.312500,6.562500,1.574331,27507800
1986-12-01,6.562500,7.750000,6.375000,7.687500,1.868840,50288400
1987-01-01,7.750000,9.875000,7.687500,9.812500,2.385431,57934000
1987-02-01,10.562500,12.937500,9.750000,12.375000,3.008379,64366400
1987-03-01,12.375000,13.250000,11.687500,11.687500,2.841244,47008000
1987-04-01,11.562500,12.437500,11.312500,11.812500,2.871632,41487800
1987-05-01,11.812500,13.437500,11.750000,13.000000,3.160314,35141400
1987-06-01,13.312500,14.750000,13.000000,13.312500,3.247697,40650200
1987-07-01,13.375000,15.312500,13.187500,14.187500,3.461160,36700800
1987-08-01,13.937500,14.750000,13.562500,14.062500,3.430666,34573000
1987-09-01,14.125000,15.125000,13.750000,14.625000,3.567892,20014800
1987-10-01,14.562500,14.562500,7.875000,10.000000,2.439585,65422000
1987-11-01,9.875000,10.125000,8.687500,8.937500,2.180378,30241000
1987-12-01,9.000000,9.562500,8.625000,9.125000,2.263853,29684400
1988-01-01,9.250000,9.625000,8.375000,9.375000,2.325875,23562400
1988-02-01,9.375000,9.375000,8.375000,9.250000,2.294863,16217800
1988-03-01,9.250000,10.250000,9.000000,9.187500,2.279358,25763400
1988-04-01,9.187500,9.625000,8.625000,8.687500,2.155311,16053400
1988-05-01,8.687500,8.937500,8.062500,8.500000,2.125661,13955400
1988-06-01,8.437500,8.875000,8.250000,8.562500,2.141291,22314400
1988-07-01,8.562500,8.937500,8.250000,8.437500,2.110032,10873200
1988-08-01,8.437500,8.562500,7.937500,8.000000,2.000623,8455200
1988-09-01,8.000000,9.625000,8.000000,9.250000,2.313220,30928600
1988-10-01,9.250000,10.125000,9.125000,10.062500,2.516407,35106600
1988-11-01,10.062500,10.125000,9.562500,9.937500,2.485149,17770400
1988-12-01,10.000000,10.000000,9.312500,9.625000,2.453379,12346000
1989-01-01,9.687500,10.625000,9.250000,10.625000,2.708276,26385400
1989-02-01,10.687500,11.312500,10.625000,10.687500,2.724205,13545000
1989-03-01,10.750000,11.562500,10.625000,11.125000,2.835724,12564400
1989-04-01,11.375000,12.062500,11.125000,11.625000,2.963171,9419600
1989-05-01,11.625000,11.812500,10.750000,10.812500,2.779156,19212200
1989-06-01,10.750000,11.437500,10.187500,10.750000,2.763092,18402800
1989-07-01,10.875000,12.312500,10.875000,12.250000,3.148640,9239200
1989-08-01,12.187500,12.750000,11.812500,12.562500,3.228961,9358000
1989-09-01,12.625000,12.625000,11.937500,12.250000,3.148640,10335600
1989-10-01,12.000000,12.375000,10.312500,11.062500,2.843415,14419800
